Date,Value,DataCollectedAt
2008-07-03,86.8843,2026-09-18
2008-07-04,86.8781,2026-09-18
2008-07-07,86.9617,2026-09-18
2008-07-08,86.9778,2026-09-18
2008-07-09,86.5335,2026-09-18
2008-07-10,86.5122,2026-09-18
2008-07-11,86.221,2026-09-18
2008-07-14,86.1079,2026-09-18
2008-07-15,85.8731,2026-09-18
2008-07-16,85.9285,2026-09-18
2008-07-17,85.9387,2026-09-18
2008-07-18,86.0735,2026-09-18
2008-07-21,86.0151,2026-09-18
2008-07-22,86.1909,2026-09-18
2008-07-23,86.2664,2026-09-18
2008-07-24,86.4017,2026-09-18
2008-07-25,86.3916,2026-09-18
2008-07-28,86.4666,2026-09-18
2008-07-29,86.8175,2026-09-18
2008-07-30,86.8167,2026-09-18
2008-07-31,86.8567,2026-09-18
2008-08-01,86.8257,2026-09-18
2008-08-04,87.0611,2026-09-18
2008-08-05,87.3281,2026-09-18
2008-08-06,87.6004,2026-09-18
2008-08-07,87.8732,2026-09-18
2008-08-08,88.8939,2026-09-18
2008-08-11,89.035,2026-09-18
2008-08-12,89.1916,2026-09-18
2008-08-13,89.3211,2026-09-18
2008-08-14,89.3675,2026-09-18
2008-08-15,89.7244,2026-09-18
2008-08-18,89.5966,2026-09-18
2008-08-19,89.6465,2026-09-18
2008-08-20,89.6977,2026-09-18
2008-08-21,88.9128,2026-09-18
2008-08-22,89.2381,2026-09-18
2008-08-25,89.3094,2026-09-18
2008-08-26,89.7007,2026-09-18
2008-08-27,89.6419,2026-09-18
2008-08-28,89.8225,2026-09-18
2008-08-29,90.0567,2026-09-18
2008-09-01,90.08,2026-09-18
2008-09-02,90.8438,2026-09-18
2008-09-03,90.8286,2026-09-18
2008-09-04,91.1621,2026-09-18
2008-09-05,91.341,2026-09-18
2008-09-08,91.663,2026-09-18
2008-09-09,91.5779,2026-09-18
2008-09-10,92.1283,2026-09-18
2008-09-11,92.4901,2026-09-18
2008-09-12,91.4706,2026-09-18
2008-09-15,91.757,2026-09-18
2008-09-16,92.0594,2026-09-18
2008-09-17,92.0982,2026-09-18
2008-09-18,91.7111,2026-09-18
